[0,1,0,0]
[0,0,0,1]
[1,0,1,0]
[0,0,0,0]

# column 1 states
[1,1,0,0]   [0,1,0,0]   [0,1,0,0]
[0,0,0,1]   [1,0,0,1]   [0,0,0,1]
[0,0,1,0]   [0,0,1,0]   [0,0,1,0]
[0,0,0,0]   [0,0,0,0]   [1,0,0,0]
# column 2 states
[0,0,0,0]   [0,0,0,0]   [0,0,0,0]
[0,1,0,1]   [0,0,0,1]   [0,0,0,1]
[1,0,1,0]   [1,1,1,0]   [1,0,1,0]
[0,0,0,0]   [0,0,0,0]   [0,1,0,0]
# column 3 states
[0,1,1,0]   [0,1,0,0]   [0,1,0,0]
[0,0,0,1]   [0,0,1,1]   [0,0,0,1]
[1,0,0,0]   [1,0,0,0]   [1,0,0,0]
[0,0,0,0]   [0,0,0,0]   [0,0,1,0]
# column 4 states
[0,1,0,1]   [0,1,0,0]   [0,1,0,0]
[0,0,0,0]   [0,0,0,0]   [0,0,0,0]
[1,0,1,0]   [1,0,1,1]   [1,0,1,0]
[0,0,0,0]   [0,0,0,0]   [0,0,0,1]
